Campaign name,Date,Ad Spent,No. of leads,Cost Per Lead,CTR %,Link Click,LP Views,Member passed,LP Conversion
3dayslive – Copy,"Friday, 01 March, 2024",0.0,1.0,0.0,,0.0,0.0,,
3dayslive – Copy,"Sunday, 03 March, 2024",0.0,0.0,,,0.0,0.0,,
3dayslive – Copy,"Monday, 04 March, 2024",0.0,0.0,,,0.0,0.0,,
3dayslive – Copy,"Tuesday, 05 March, 2024",0.0,0.0,,,0.0,0.0,,
3dayslive – Copy 2 - Advantage+ shopping campaign,"Friday, 01 March, 2024",1899.99,12.0,158.3325,1.472565,252.0,209.0,82.93650793650794,5.741626794258373
3dayslive – Copy 2 - Advantage+ shopping campaign,"Saturday, 02 March, 2024",1896.02,5.0,379.204,0.990656,176.0,135.0,76.70454545454545,3.7037037037037033
3dayslive – Copy 2 - Advantage+ shopping campaign,"Sunday, 03 March, 2024",1520.26,8.0,190.0325,0.999303,129.0,99.0,76.74418604651163,8.080808080808081
3dayslive – Copy 2 - Advantage+ shopping campaign,"Monday, 04 March, 2024",0.0,1.0,0.0,,0.0,0.0,,
3dayslive – Copy 2 - Advantage+ shopping campaign,"Tuesday, 05 March, 2024",0.0,0.0,,,0.0,0.0,,
3dayslive – Copy 2 - Advantage+ shopping campaign,"Wednesday, 06 March, 2024",0.0,0.0,,,0.0,0.0,,
3dayslive – Copy 2 - Advantage+ shopping campaign,"Thursday, 07 March, 2024",0.0,0.0,,,0.0,0.0,,
3dayslive – Copy 2 - Advantage+ shopping campaign,"Friday, 08 March, 2024",0.0,1.0,0.0,,0.0,0.0,,
Feedbackrs9,"Sunday, 17 March, 2024",1941.11,21.0,92.43380952380951,0.668271,100.0,80.0,80.0,26.25
Feedbackrs9,"Monday, 18 March, 2024",2001.02,10.0,200.102,0.540239,97.0,63.0,64.94845360824742,15.873015873015872
Feedbackrs9,"Tuesday, 19 March, 2024",2009.33,18.0,111.62944444444445,0.643808,135.0,87.0,64.44444444444444,20.689655172413794
Feedbackrs9,"Wednesday, 20 March, 2024",1997.54,11.0,181.59454545454545,0.430429,92.0,75.0,81.52173913043478,14.666666666666666
Feedbackrs9,"Thursday, 21 March, 2024",1982.31,20.0,99.1155,0.501151,111.0,90.0,81.08108108108108,22.22222222222222
Feedbackrs9,"Friday, 22 March, 2024",1983.0,11.0,180.27272727272728,0.410152,101.0,71.0,70.29702970297029,15.492957746478872
Feedbackrs9,"Saturday, 23 March, 2024",1941.17,15.0,129.41133333333335,0.402319,102.0,72.0,70.58823529411765,20.833333333333336
Feedbackrs9,"Sunday, 24 March, 2024",1573.42,5.0,314.684,0.470656,98.0,65.0,66.3265306122449,7.6923076923076925
Feedbackrs9,"Tuesday, 26 March, 2024",0.0,0.0,,,0.0,0.0,,
Feedbackrs9,"Thursday, 28 March, 2024",0.0,0.0,,,0.0,0.0,,
Feedbackrs9,"Sunday, 31 March, 2024",497.7,1.0,497.7,0.381018,22.0,14.0,63.63636363636363,7.142857142857142
ForeignSales-AsiaAntartrica,"Tuesday, 19 March, 2024",662.74,2.0,331.37,0.739839,79.0,50.0,63.29113924050633,4.0
ForeignSales-AsiaAntartrica,"Wednesday, 20 March, 2024",973.36,4.0,243.34,0.802902,135.0,102.0,75.55555555555556,3.9215686274509802
ForeignSales-AsiaAntartrica,"Thursday, 21 March, 2024",954.4,3.0,318.1333333333333,0.933209,140.0,74.0,52.85714285714286,4.054054054054054
ForeignSales-AsiaAntartrica,"Friday, 22 March, 2024",991.47,0.0,,0.858479,134.0,76.0,56.71641791044776,0.0
ForeignSales-AsiaAntartrica,"Saturday, 23 March, 2024",964.12,4.0,241.03,0.733471,139.0,98.0,70.50359712230215,4.081632653061225
ForeignSales-AsiaAntartrica,"Sunday, 24 March, 2024",815.22,6.0,135.87,1.079308,181.0,97.0,53.591160220994475,6.185567010309279
ForeignSales-AsiaAntartrica,"Monday, 25 March, 2024",0.0,4.0,0.0,,0.0,0.0,,
ForeignSales-AsiaAntartrica,"Tuesday, 26 March, 2024",0.0,3.0,0.0,,0.0,0.0,,
